"","OPEID6","INSTNM","STATE","CONTROL","NOTWORKING","WORKING","MEAN_EARNINGS","MEDIAN_EARNINGS","PERCENT10_EARNINGS","PERCENT25_EARNINGS","PERCENT75_EARNINGS","PERCENT90_EARNINGS","MEDIAN_DEBT","NUM_DEBT","TUITION","DEFAULT2","YEAR"
"139",1116,"Art Center College of Design","CA",2,91,422,57400,46800,6100,19100,80700,122800,19344,796,NA,0.018,2007
"140",9022,"Associated Technical College-Los Angeles","CA",3,216,700,26300,21300,5300,10100,37000,51900,3500,136,NA,0,2007
"141",1117,"Azusa Pacific University","CA",2,182,1340,59900,57700,13300,32700,77800,105100,10500,3308,NA,0.005,2007
"142",1118,"Bakersfield College","CA",1,281,1568,36400,31000,5900,16200,49700,72000,3478,451,NA,0.104,2007
"143",1121,"Bethany University","CA",2,64,248,41400,37200,4600,17700,58800,83600,8625,339,NA,0.076,2007
"144",1122,"Biola University","CA",2,112,702,49500,45400,7700,21200,67100,89100,12125,2031,NA,0.006,2007
"145",20655,"Brooks College","CA",3,211,1054,36400,32800,5700,16400,48200,68900,7500,966,NA,0.075,2007
"146",8073,"Butte College","CA",1,545,1987,36700,31000,5000,15200,50800,75900,3500,1788,NA,0.136,2007
"147",1124,"Cabrillo College","CA",1,273,1035,39300,33900,5100,14600,54500,79900,3500,545,NA,0.058,2007
"148",1125,"California Baptist University","CA",2,125,883,51400,50300,9300,25900,69700,88800,10500,1846,NA,0.036,2007
"149",1127,"California College of the Arts","CA",2,60,299,43400,38900,5400,16900,61100,77700,17125,627,NA,0.023,2007
"150",1131,"California Institute of Technology","CA",2,13,122,97500,80000,17900,51000,123000,186300,5500,63,NA,0,2007
"151",1133,"California Lutheran University","CA",2,69,659,58500,53100,9900,31400,77700,102300,10500,1058,NA,0.012,2007
"152",1143,"California Polytechnic State University-San Luis Obispo","CA",1,319,3412,69000,63500,19500,42100,90000,117500,11625,4833,NA,0.008,2007
"153",11117,"Alliant International University-San Diego","CA",2,40,244,55400,56100,10500,29400,73300,94700,8375,160,NA,0.013,2007
"154",7993,"California State University-Bakersfield","CA",1,163,1168,52100,50900,12100,30800,65200,88300,5500,3067,NA,0.032,2007
"155",1157,"California State University-Stanislaus","CA",1,141,1450,48700,49100,11300,29900,64100,81800,6625,2589,NA,0.038,2007
"156",1142,"California State University-San Bernardino","CA",1,356,2880,53800,54700,12800,31000,70800,90600,10500,5829,NA,0.032,2007
"157",1144,"California State Polytechnic University-Pomona","CA",1,343,3501,59300,57000,16200,35500,77700,100100,9000,4611,NA,0.016,2007
"158",1146,"California State University-Chico","CA",1,395,3586,54100,50000,12600,29900,70100,98400,8500,5262,NA,0.024,2007
"159",1141,"California State University-Dominguez Hills","CA",1,248,2055,52100,49900,13600,31200,69500,88600,6750,3031,NA,0.035,2007
"160",1147,"California State University-Fresno","CA",1,419,4090,51400,48800,12200,29100,65300,87100,8250,5509,NA,0.03,2007
"161",1137,"California State University-Fullerton","CA",1,552,4801,54000,51100,11700,30300,70600,93400,9000,6527,NA,0.023,2007
